,id,fullname,born,unique_price_years,unique_price_categories,gender,country_name
153,156,Horst L. Störmer,1949-04-06,{'1998'},{'physics'},male,Württemberg
154,157,Daniel C. Tsui,1939-02-28,{'1998'},{'physics'},male,Tibet
155,158,Gerardus 't Hooft,1946-07-05,{'1999'},{'physics'},male,the Netherlands
156,159,Martinus J.G. Veltman,1931-06-27,{'1999'},{'physics'},male,the Netherlands
157,160,Jacobus H. van 't Hoff,1852-08-30,{'1901'},{'chemistry'},male,the Netherlands
158,161,Emil Fischer,1852-10-09,{'1902'},{'chemistry'},male,Württemberg
159,162,Svante Arrhenius,1859-02-19,{'1903'},{'chemistry'},male,Sweden
160,163,Sir William Ramsay,1852-10-02,{'1904'},{'chemistry'},male,United Kingdom
161,164,Adolf von Baeyer,1835-10-31,{'1905'},{'chemistry'},male,Württemberg
162,165,Henri Moissan,1852-09-28,{'1906'},{'chemistry'},male,France
163,166,Eduard Buchner,1860-05-20,{'1907'},{'chemistry'},male,Württemberg
164,167,Ernest Rutherford,1871-08-30,{'1908'},{'chemistry'},male,New Zealand
165,168,Wilhelm Ostwald,1853-09-02,{'1909'},{'chemistry'},male,Latvia
166,169,Otto Wallach,1847-03-27,{'1910'},{'chemistry'},male,USSR
167,172,Victor Grignard,1871-05-06,{'1912'},{'chemistry'},male,France
168,173,Paul Sabatier,1854-11-05,{'1912'},{'chemistry'},male,France
169,174,Alfred Werner,1866-12-12,{'1913'},{'chemistry'},male,France
170,175,Theodore W. Richards,1868-01-31,{'1914'},{'chemistry'},male,USA
171,176,Richard Willstätter,1872-08-13,{'1915'},{'chemistry'},male,Württemberg
172,177,Fritz Haber,1868-12-09,{'1918'},{'chemistry'},male,Prussia
173,178,Walther Nernst,1864-06-25,{'1920'},{'chemistry'},male,Prussia
174,179,Frederick Soddy,1877-09-02,{'1921'},{'chemistry'},male,United Kingdom
175,180,Francis W. Aston,1877-09-01,{'1922'},{'chemistry'},male,United Kingdom
176,181,Fritz Pregl,1869-09-03,{'1923'},{'chemistry'},male,Slovenia
177,182,Richard Zsigmondy,1865-04-01,{'1925'},{'chemistry'},male,Austria
178,183,The Svedberg,1884-08-30,{'1926'},{'chemistry'},male,Sweden
179,184,Heinrich Wieland,1877-06-04,{'1927'},{'chemistry'},male,Württemberg
180,185,Adolf Windaus,1876-12-25,{'1928'},{'chemistry'},male,Württemberg
181,186,Arthur Harden,1865-10-12,{'1929'},{'chemistry'},male,United Kingdom
182,187,Hans von Euler-Chelpin,1873-02-15,{'1929'},{'chemistry'},male,Württemberg
183,188,Hans Fischer,1881-07-27,{'1930'},{'chemistry'},male,Württemberg
184,189,Carl Bosch,1874-08-27,{'1931'},{'chemistry'},male,Württemberg
185,190,Friedrich Bergius,1884-10-11,{'1931'},{'chemistry'},male,Prussia
186,191,Irving Langmuir,1881-01-31,{'1932'},{'chemistry'},male,USA
187,192,Harold C. Urey,1893-04-29,{'1934'},{'chemistry'},male,USA
188,193,Frédéric Joliot,1900-03-19,{'1935'},{'chemistry'},male,France
189,194,Irène Joliot-Curie,1897-09-12,{'1935'},{'chemistry'},female,France
190,195,Peter Debye,1884-03-24,{'1936'},{'chemistry'},male,the Netherlands
191,196,Norman Haworth,1883-03-19,{'1937'},{'chemistry'},male,United Kingdom
192,197,Paul Karrer,1889-04-21,{'1937'},{'chemistry'},male,USSR
193,198,Richard Kuhn,1900-12-03,{'1938'},{'chemistry'},male,Austria
194,199,Adolf Butenandt,1903-03-24,{'1939'},{'chemistry'},male,Württemberg
195,200,Leopold Ruzicka,1887-09-13,{'1939'},{'chemistry'},male,Croatia
196,201,George de Hevesy,1885-08-01,{'1943'},{'chemistry'},male,Hungary
197,202,Otto Hahn,1879-03-08,{'1944'},{'chemistry'},male,Württemberg
198,203,Artturi Virtanen,1895-01-15,{'1945'},{'chemistry'},male,Finland
199,204,James B. Sumner,1887-11-19,{'1946'},{'chemistry'},male,USA
200,205,John H. Northrop,1891-07-05,{'1946'},{'chemistry'},male,USA
201,206,Wendell M. Stanley,1904-08-16,{'1946'},{'chemistry'},male,USA
202,207,Sir Robert Robinson,1886-09-13,{'1947'},{'chemistry'},male,United Kingdom
203,208,Arne Tiselius,1902-08-10,{'1948'},{'chemistry'},male,Sweden
204,209,William F. Giauque,1895-05-12,{'1949'},{'chemistry'},male,Canada
205,210,Otto Diels,1876-01-23,{'1950'},{'chemistry'},male,Württemberg
206,211,Kurt Alder,1902-07-10,{'1950'},{'chemistry'},male,Prussia
207,212,Edwin M. McMillan,1907-09-18,{'1951'},{'chemistry'},male,USA
208,213,Glenn T. Seaborg,1912-04-19,{'1951'},{'chemistry'},male,USA
209,214,Archer J.P. Martin,1910-03-01,{'1952'},{'chemistry'},male,United Kingdom
210,215,Richard L.M. Synge,1914-10-28,{'1952'},{'chemistry'},male,United Kingdom
211,216,Hermann Staudinger,1881-03-23,{'1953'},{'chemistry'},male,Württemberg
212,217,Linus Pauling,1901-02-28,"{'1962', '1954'}","{'peace', 'chemistry'}",male,USA
213,218,Vincent du Vigneaud,1901-05-18,{'1955'},{'chemistry'},male,USA
214,219,Sir Cyril Hinshelwood,1897-05-19,{'1956'},{'chemistry'},male,United Kingdom
215,220,Nikolay Semenov,1896-04-03,{'1956'},{'chemistry'},male,USSR
216,221,Lord Todd,1907-10-02,{'1957'},{'chemistry'},male,United Kingdom
217,222,Frederick Sanger,1918-08-13,"{'1980', '1958'}",{'chemistry'},male,United Kingdom
218,223,Jaroslav Heyrovsky,1890-12-20,{'1959'},{'chemistry'},male,Hungarian Empire
219,224,Willard F. Libby,1908-12-17,{'1960'},{'chemistry'},male,USA
220,225,Melvin Calvin,1911-04-08,{'1961'},{'chemistry'},male,USA
221,226,Max F. Perutz,1914-05-19,{'1962'},{'chemistry'},male,Austria
222,227,John C. Kendrew,1917-03-24,{'1962'},{'chemistry'},male,United Kingdom
223,228,Karl Ziegler,1898-11-26,{'1963'},{'chemistry'},male,Württemberg
224,229,Giulio Natta,1903-02-26,{'1963'},{'chemistry'},male,Tuscany
225,230,Dorothy Crowfoot Hodgkin,1910-05-12,{'1964'},{'chemistry'},female,Egypt
226,231,Robert B. Woodward,1917-04-10,{'1965'},{'chemistry'},male,USA
227,232,Robert S. Mulliken,1896-06-07,{'1966'},{'chemistry'},male,USA
228,233,Manfred Eigen,1927-05-09,{'1967'},{'chemistry'},male,Württemberg
